"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"10514","35-44",54500,"8 - 10 years","Master's degree","Man","Education (Primary/Secondary)","Media Specialist"
"10515","35-44",137000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Computing or Tech","Program Manager"
"10516","35-44",162000,"11 - 20 years","College degree","Man","Computing or Tech","Lead software engineer"
"10517","35-44",78980,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Program Specialist"
"10518","35-44",112000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Development Manager"
"10519","25-34",135000,"11 - 20 years","College degree","Man","Computing or Tech","Solution Architect"
"10520","35-44",57000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Business Manager"
"10521","45-54",43000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Administrative Assistant"
"10522","25-34",45000,"5-7 years","College degree","Woman","Government and Public Administration","Environmental Specialist"
"10523","45-54",40000,"11 - 20 years","High School","Woman","Accounting, Banking & Finance","Teller/customer service/social media"
"10524","25-34",105000,"8 - 10 years","College degree","Man","Health care","Data Architect"
"10525","25-34",76500,"5-7 years","Master's degree","Man","Nonprofits","Deputy Digital Director"
"10526","35-44",44000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Administrative Assistant"
"10527","25-34",39520,"8 - 10 years","College degree","Woman","Communications","Community Engagement and Communications Specialist"
"10528","25-34",48000,"1 year or less","College degree","Man","Computing or Tech","Web Developer"
"10529","35-44",80000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Sr. Customer Success Analyst"
"10530","35-44",84000,"11 - 20 years","College degree","Woman","Hospitality & Events","Associate director"
"10531","25-34",280000,"8 - 10 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"10532","35-44",220000,"11 - 20 years","College degree","Man","Computing or Tech","Chief Technology Officer"
"10533","25-34",107000,"8 - 10 years","College degree","Woman","Aerospace","Communications Specialist"
"10534","25-34",75000,"8 - 10 years","College degree","Man","Education (Higher Education)","IT Systems Administrator"
"10535","55-64",89000,"21 - 30 years","College degree","Woman","Publishing","Sr. Accountant"
"10536","35-44",55000,"11 - 20 years","College degree","Woman","Research at a State University","Senior Research Specialist"
"10537","25-34",93203,"11 - 20 years","Master's degree","Man","Social Work","Licensed Clinical Social Worker"
"10538","25-34",84000,"8 - 10 years","Master's degree","Woman","Nonprofits","Engagement Manager"
"10539","25-34",35000,"11 - 20 years","College degree","Woman","Media & Digital","Marketing and Sales Assistant"
"10540","25-34",49920,"8 - 10 years","Master's degree","Woman","Accounting, Banking & Finance","Administrative Assistant"
"10541","25-34",61400,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Operations Line Senior Specialist"
"10542","25-34",198000,"8 - 10 years","College degree","Man","Computing or Tech","Director of Product Management"
"10543","35-44",61000,"21 - 30 years","College degree","Woman","Law","Legal Assistant"
"10544","25-34",90000,"8 - 10 years","College degree","Woman","Media & Digital","Reporter"
"10545","35-44",2e+05,"11 - 20 years","Master's degree","Woman","Computing or Tech","Software Developer"
"10546","35-44",135000,"21 - 30 years","College degree","Woman","Business or Consulting","Executive Assistant"
"10547","25-34",107000,"11 - 20 years","Master's degree","Woman","Nonprofits","Director of Content Strategy"
"10548","45-54",64000,"31 - 40 years","College degree","Woman","Government and Public Administration","HR Coordinator & Payroll"
"10549","25-34",36000,"5-7 years","College degree","Man","","UX Designer"
"10550","35-44",79000,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Director"
"10551","35-44",58000,"11 - 20 years","Master's degree","Woman","Education (Primary/Secondary)","Teacher"
"10552","45-54",107705,"21 - 30 years","Master's degree","Woman","Computing or Tech","Lead Business System Analyst"
"10553","35-44",85700,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff attorney"
"10554","25-34",160000,"2 - 4 years","College degree","Woman","Business or Consulting","Manager"
"10555","45-54",98950,"21 - 30 years","Master's degree","Woman","Insurance","Senior technical claims specialist"
"10556","25-34",53000,"5-7 years","College degree","Woman","Government and Public Administration","Legislative Correspondent"
"10557","35-44",133000,"21 - 30 years","College degree","Man","Computing or Tech","Lead Developer"
"10558","45-54",135000,"21 - 30 years","Master's degree","Woman","Marketing, Advertising & PR","Director of Content"
"10559","35-44",43000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Administrative Coordinator"
"10560","25-34",33000,"5-7 years","Master's degree","Woman","Education (Higher Education)","Graduate Student Instructor / PhD Candidate"
"10561","35-44",141440,"11 - 20 years","Master's degree","Woman","Nonprofits","Development advisor"
"10562","35-44",118500,"11 - 20 years","College degree","Man","Utilities & Telecommunications","Compliance Specialist"
"10563","25-34",177000,"5-7 years","PhD","Woman","Business or Consulting","Senior Associate"
"10564","35-44",135000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Accounting Director"
"10565","45-54",179000,"21 - 30 years","Master's degree","Woman","Accounting, Banking & Finance","Senior Vice President"
"10566","35-44",61000,"21 - 30 years","College degree","Woman","Retail","Admin. Assistant/accounts payable"
"10567","25-34",171000,"5-7 years","College degree","Woman","Computing or Tech","Senior Software Engineer"
"10568","25-34",86000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Marketing Manager"
"10569","25-34",46000,"8 - 10 years","College degree","Woman","Nonprofits","Community Engagement Director"
"10570","35-44",110000,"11 - 20 years","College degree","Woman","Computing or Tech","Software Engineer"
"10571","25-34",77500,"8 - 10 years","Master's degree","Woman","Law","Office Manager"
"10572","25-34",48000,"11 - 20 years","Master's degree","Woman","Book Publishing","Foreign Rights Assistant"
"10573","25-34",113500,"5-7 years","College degree","Woman","Business or Consulting","Consultant"
"10574","25-34",116358,"2 - 4 years","PhD","Woman","Pharmaceutical","Senior Scientist"
"10575","35-44",60000,"11 - 20 years","College degree","Woman","Sales","Client Success Manager"
"10576","25-34",172700,"11 - 20 years","College degree","Woman","Computing or Tech","Lead Technical Writer"
"10577","35-44",114700,"11 - 20 years","Master's degree","Man","Media & Digital","Assistant Managing Editor"
"10578","35-44",36400,"5-7 years","College degree","Woman","Office Admin","Office Manager"
"10579","25-34",84000,"5-7 years","College degree","Woman","Business or Consulting","Consultant"
"10580","25-34",52000,"11 - 20 years","College degree","Man","Education (Higher Education)","Access Services Manager"
"10581","35-44",32800,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Administrative Assistant"
"10582","25-34",85000,"5-7 years","College degree","Woman","Nonprofits","Associate Director of Communications and Marketing"
"10583","35-44",48000,"21 - 30 years","College degree","Woman","Health care","Administrative Coordinator"
"10584","35-44",66500,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Special collections librarian"
"10585","45-54",118000,"21 - 30 years","College degree","Woman","Utilities & Telecommunications","Sr Manager Business Operations"
"10586","35-44",82000,"11 - 20 years","College degree","Man","Computing or Tech","Project Manager"
"10587","45-54",52000,"31 - 40 years","High School","Woman","Property or Construction","Payroll Administrator"
"10588","25-34",210000,"5-7 years","Master's degree","Man","Computing or Tech","Engineering Manager"
"10589","45-54",140845,"31 - 40 years","College degree","Man","Transport or Logistics","Technical Advisor"
"10590","35-44",137000,"11 - 20 years","College degree","Man","Engineering or Manufacturing","Structural Division Manager"
"10591","25-34",55000,"5-7 years","Master's degree","Woman","Agriculture or Forestry","Sales and Outreach Manager"
"10592","45-54",160000,"11 - 20 years","College degree","Woman","Health care","Revenue Cycle Director"
"10593","55-64",152000,"21 - 30 years","Master's degree","Woman","Education (Higher Education)","HR Director"
"10594","35-44",42300,"8 - 10 years","Master's degree","Woman","Hospitality & Events","Dining Services Supervisor"
"10595","25-34",60000,"5-7 years","College degree","Woman","Media & Digital","Editor"
"10596","45-54",160000,"21 - 30 years","College degree","Woman","Utilities & Telecommunications","Human Resources Director"
"10597","25-34",97000,"8 - 10 years","Master's degree","Woman","Health care","Operations Manager"
"10598","25-34",43000,"8 - 10 years","Master's degree","Woman","Nonprofits","Communications Officer"
"10599","25-34",65000,"8 - 10 years","Master's degree","Woman","Health care","Communications Consultant"
"10600","35-44",55000,"11 - 20 years","College degree","Woman","Nonprofits","Senior Program Associate"
"10601","25-34",46561,"11 - 20 years","College degree","Woman","Nonprofits","Volunteer Coordinator"
"10602","45-54",55000,"11 - 20 years","Master's degree","Man","Computing or Tech","Computer Operations Coordinator"
"10603","25-34",101500,"5-7 years","College degree","Woman","Insurance","Software Engineer"
"10604","18-24",50000,"5-7 years","College degree","Man","Computing or Tech","Technical Support Supervisor"
"10605","45-54",160000,"11 - 20 years","College degree","Woman","Health care","Revenue Cycle Director"
"10606","25-34",130000,"8 - 10 years","College degree","Man","Computing or Tech","Senior Customer Success Manager"
"10607","25-34",67000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Research Manager"
"10608","25-34",113000,"5-7 years","Master's degree","Woman","Computing or Tech","Technical writer"
"10609","35-44",120000,"21 - 30 years","College degree","Woman","Computing or Tech","Senior Manager ERP"
"10610","25-34",125000,"5-7 years","College degree","Woman","Computing or Tech","Learning Management System Specialist"
"10611","25-34",85000,"5-7 years","Master's degree","Woman","Government and Public Administration","Lobbyist"
"10612","25-34",142800,"8 - 10 years","College degree","Woman","Business or Consulting","Senior Acquisitions Support Consultant"
"10613","35-44",68000,"11 - 20 years","Master's degree","Woman","Health care","Complex Care Manager"
"10614","35-44",132000,"11 - 20 years","College degree","Man","Hospitality & Events","Resident District Manager"
"10615","25-34",155000,"8 - 10 years","College degree","Woman","Nonprofits","Director of Membership"
"10616","25-34",42000,"5-7 years","Master's degree","Man","Education (Higher Education)","Academic Advisor"
"10617","35-44",66000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Education (Higher Education)","Assistant Director, Professional School"
"10618","18-24",55000,"2 - 4 years","College degree","Woman","Law","Paralegal"
"10619","35-44",72500,"8 - 10 years","Master's degree","Woman","Government and Public Administration","Writer-Editor"
"10620","25-34",130000,"11 - 20 years","College degree","Man","Computing or Tech","IT Manager"
"10621","25-34",107000,"2 - 4 years","College degree","Woman","Accounting, Banking & Finance","Internal Audit Supervisor"
"10622","25-34",45000,"8 - 10 years","PhD","Woman","Education (Higher Education)","Assistant Professor, tenure-track"
"10623","35-44",54080,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Senior Bookkeeper"
"10624","35-44",150000,"21 - 30 years","Master's degree","Woman","Marketing, Advertising & PR","Director of Corporate Communications"
"10625","25-34",24000,"8 - 10 years","College degree","Woman","Education (Primary/Secondary)","Paraprofessional"
"10626","45-54",18500,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Graduate Student"
"10627","25-34",64700,"5-7 years","College degree","Woman","Accounting, Banking & Finance","Operations Associate"
"10628","25-34",57000,"5-7 years","Master's degree","Woman","Education (Primary/Secondary)","Elementary Teacher"
